query,status,stt,moderation,retrieval,generation,groundedness,total_measured
कॉर्पोरेशन क्या है?,REJECTED_GROUNDEDNESS,0.0,0.01,128.19,85.02,132.78,346.07
रेचल कार्सन ने क्यों एक दायित्व बर्दाश्त करने के लिए लिखा,REJECTED_GROUNDEDNESS,0.0,0.01,32.48,85.02,74.57,192.15
पोटेशियम में कम खाद्य पदार्थों का चार्ट।,REJECTED_GROUNDEDNESS,0.0,0.01,36.97,82.55,96.32,215.91
मालवाहक जहाज़ के नीचे की तरफ,REJECTED_GROUNDEDNESS,0.0,0.01,37.39,84.18,83.77,205.42
ईमानदारी या सच्चाई की परिभाषा,REJECTED_GROUNDEDNESS,0.0,0.01,39.93,85.02,97.16,222.18
लिंकन में अब वायुमंडलीय दबाव क्या है?,REJECTED_GROUNDEDNESS,0.0,0.01,22.43,85.02,49.34,156.86
स्ट्रूथर्स शहर स्कूल जिला राज्य संख्या,REJECTED_GROUNDEDNESS,0.0,0.01,36.69,84.11,99.66,220.52
क्या चिकित्सीय मारिजुआना मदत करता है?,REJECTED_GROUNDEDNESS,0.0,0.01,32.85,82.95,68.8,184.67
फ्रैंक गिफोर्ड ने कितनी महिलाओं से शादी की,REJECTED_GROUNDEDNESS,0.0,0.01,21.49,84.18,90.74,196.48
कितनी ट्रम्प प्रशासन की जांच चल रही हैं,REJECTED_GROUNDEDNESS,0.0,0.01,19.28,84.1,99.12,202.57
"वॉव पर अनुयायियों को कैसे इकट्ठा किया जाए, इसका मार्गदर्शक",REJECTED_GROUNDEDNESS,0.0,0.01,31.7,80.9,60.53,173.21
ज़ेल्स कितने समय तक दूर रहना पड़ता है,REJECTED_GROUNDEDNESS,0.0,0.01,20.35,85.02,103.46,208.91
प्रदूषण के कारण मानव आबादी कैसे बढ़ती है,REJECTED_GROUNDEDNESS,0.0,0.01,21.32,85.02,74.88,181.29
एन.एच.एल. प्लेऑफ़ सीडिंग कैसे काम करती है,REJECTED_GROUNDEDNESS,0.0,0.01,23.98,83.11,82.63,189.79
क्या गंदगी के कारण दाद होता है?,REJECTED_GROUNDEDNESS,0.0,0.01,20.96,85.02,82.86,188.91
एक ताज को फिर से बनाने की कीमत कितनी होती है,REJECTED_GROUNDEDNESS,0.0,0.01,21.29,92.68,87.01,201.05
बैरल ओ स्लाइम क्या है?,REJECTED_GROUNDEDNESS,0.0,0.01,24.14,85.02,86.21,195.44
बाज़ कितनी तेजी से यात्रा करता है,REJECTED_GROUNDEDNESS,0.0,0.01,19.44,85.03,94.69,199.21
स्टबहब टोल फ्री नंबर,REJECTED_GROUNDEDNESS,0.0,0.01,19.12,80.1,106.33,205.61
सौर शहर के पैनल कितना कि.डब्ल्यू उत्पादन करते हैं,REJECTED_GROUNDEDNESS,0.0,0.01,22.06,81.94,140.8,244.87
पहली रक्षा नाक फ़िल्टर बिक्री संख्या,REFUSAL_NO_CONTEXT,0.0,0.01,21.5,0.0,0.0,21.52
विंडोज 8 पर स्पष्ट डेस्कटॉप आइकन कैसे प्राप्त करें,REJECTED_GROUNDEDNESS,0.0,0.0,25.0,84.25,79.59,188.91
क्या डेल्टा बैंगलोर के लिए उड़ान भरता है?,REJECTED_GROUNDEDNESS,0.0,0.01,34.48,85.02,60.38,179.95
कैंटालूप को कितने समय तक परिपक्व होना है,REJECTED_GROUNDEDNESS,0.0,0.01,24.5,80.97,90.59,196.12
परिवर्तक को परीक्षण पाइप से बदलने की लागत,REJECTED_GROUNDEDNESS,0.0,0.01,24.97,85.02,68.69,178.75
परिभाषा मनमानी है,REJECTED_GROUNDEDNESS,0.0,0.01,41.43,85.6,75.57,202.66
स्नातक डिग्री की डिग्री के लिए समय की गणना कैसे की जाती है,REJECTED_GROUNDEDNESS,0.0,0.0,19.51,81.75,71.59,172.93
किन्ना पारस्परिक आदान-प्रदान होता है और इसकी समस्याएं क्या हैं,REFUSAL_NO_CONTEXT,0.0,0.01,20.06,0.0,0.0,20.08
क्या रोब्लॉक्स में पावर रेंजर इवेंट होता था?,REJECTED_GROUNDEDNESS,0.0,0.01,22.37,87.69,80.94,191.11
जलवायु मौसम का अध्ययन,REJECTED_GROUNDEDNESS,0.0,0.01,46.27,82.45,76.93,205.74
तेल मिश्रित जड़ी-बूटी का संक्षेपण कैसे बनाएं,REJECTED_GROUNDEDNESS,0.0,0.02,22.96,81.12,84.02,188.19
समाजशास्त्र की परिभाषा की संस्कृति,REJECTED_GROUNDEDNESS,0.0,0.01,20.62,85.02,82.39,188.1
मूलगामी गर्दन को परिभाषित करें,REJECTED_GROUNDEDNESS,0.0,0.01,20.56,81.71,63.33,165.68
आधा कप में कितने औंस होते हैं,REJECTED_GROUNDEDNESS,0.0,0.01,21.21,80.08,65.66,167.03
कार्यदिवस को परिभाषित करें।,REJECTED_GROUNDEDNESS,0.0,0.01,20.16,85.02,84.2,189.46
कितने खर्च होते हैं यू.एस.एक्स. गेम्स?,REJECTED_GROUNDEDNESS,0.0,0.01,19.41,84.83,85.19,189.49
क्या एक हस्ताक्षरित विनिर्णय को रद्द किया जा सकता है?,REJECTED_GROUNDEDNESS,0.0,0.01,17.1,85.03,50.72,152.92
कांच के पैनल पर आ रहे तनाव का समाधान किया जा सकता है,REJECTED_GROUNDEDNESS,0.0,0.01,19.74,82.45,57.05,159.32
आधारभूत क्या है जीने में?,REJECTED_GROUNDEDNESS,0.0,0.01,23.06,86.91,69.51,179.56
बोनिवा कितना प्रभावी है,REJECTED_GROUNDEDNESS,0.0,0.01,27.14,85.02,78.74,190.98
आपको कितने समय तक कार्ब चक्र लगाना चाहिए,REJECTED_GROUNDEDNESS,0.0,0.01,20.76,81.44,90.2,192.47
स्टाई कारण होता है,REJECTED_GROUNDEDNESS,0.0,0.01,22.76,83.21,82.91,188.96
रेडिंग का उच्चतम रिकॉर्ड तापमान,REJECTED_GROUNDEDNESS,0.0,0.01,18.72,81.02,77.12,176.92
दो बहनों के ब्रंच की कीमत,REJECTED_GROUNDEDNESS,0.0,0.01,19.59,84.02,62.99,166.67
मैट लॉयर एक साल में कितना कमाता है,REFUSAL_NO_CONTEXT,0.0,0.01,23.29,0.0,0.0,23.3
कैलिफोर्निया के घरेलू हिंसा के कानून,REJECTED_GROUNDEDNESS,0.0,0.01,23.15,85.02,76.85,185.09
एक 'एक्सेल शीट' कैसे प्रिंट करें,REJECTED_GROUNDEDNESS,0.0,0.01,21.1,84.79,77.84,183.8
डेथ हेड यूनिट्स की परिभाषा,REJECTED_GROUNDEDNESS,0.0,0.01,22.72,83.97,130.34,237.09
मक्का का भोजन और मक्का का आटा एक जैसा ही है।,REJECTED_GROUNDEDNESS,0.0,0.01,16.9,80.94,49.13,147.04
क्या बुनियादी है?,REFUSAL_NO_CONTEXT,0.0,0.01,39.21,0.0,0.0,39.23
तत्वों की एंट्रॉपी,REJECTED_GROUNDEDNESS,0.0,0.01,20.76,84.66,128.11,233.61
क्या लाल स्वादिष्ट सेब अच्छी सेब की चटनी बनाते हैं?,REJECTED_GROUNDEDNESS,0.0,0.01,19.39,85.02,86.38,190.91
एक टिकट कवर कितना वजन करता है,REJECTED_GROUNDEDNESS,0.0,0.01,19.28,82.71,63.67,165.73
वयस्कों में विस्थापन में सीमावर्ती व्यक्तित्व विकार के लक्षण,REJECTED_GROUNDEDNESS,0.0,0.01,18.7,80.37,63.14,162.29
विटामिन डी की मदद करने वाले खाद्य पदार्थ,REJECTED_GROUNDEDNESS,0.0,0.01,18.75,80.04,86.29,185.16
